"Codice comune","Comune","Totale maschi","Totale femmine","Totale"
"022001","Ala","4420","4374","8794"
"022002","Albiano","785","738","1523"
"022003","Aldeno","1620","1654","3274"
"022005","Andalo","564","579","1143"
"022006","Arco","8738","9025","17763"
"022007","Avio","2069","2065","4134"
"022009","Baselga di Pinè","2621","2588","5209"
"022011","Bedollo","755","736","1491"
"022013","Besenello","1418","1382","2800"
"022015","Bieno","225","240","465"
"022017","Bleggio Superiore","771","738","1509"
"022018","Bocenago","202","196","398"
"022021","Bondone","326","318","644"
"022022","Borgo Valsugana","3492","3589","7081"
"022025","Brentonico","2071","2053","4124"
"022026","Bresimo","124","120","244"
"022029","Caderzone Terme","359","337","696"
"022032","Calceranica al Lago","692","703","1395"
"022033","Caldes","550","556","1106"
"022034","Caldonazzo","1934","2028","3962"
"022035","Calliano","1042","996","2038"
"022036","Campitello di Fassa","343","357","700"
"022037","Campodenno","787","722","1509"
"022038","Canal San Bovo","709","753","1462"
"022039","Canazei","875","957","1832"
"022040","Capriana","303","292","595"
"022042","Carisolo","445","476","921"
"022043","Carzano","256","254","510"
"022045","Castel Condino","113","112","225"
"022047","Castello-Molina di Fiemme","1174","1145","2319"
"022048","Castello Tesino","595","563","1158"
"022049","Castelnuovo","534","552","1086"
"022050","Cavalese","1935","2052","3987"
"022051","Cavareno","577","546","1123"
"022052","Cavedago","303","273","576"
"022053","Cavedine","1540","1533","3073"
"022054","Cavizzana","111","123","234"
"022058","Cimone","374","355","729"
"022059","Cinte Tesino","175","182","357"
"022060","Cis","140","152","292"
"022061","Civezzano","2122","2089","4211"
"022062","Cles","3538","3771","7309"
"022064","Commezzadura","502","512","1014"
"022068","Croviana","347","341","688"
"022071","Dambel","214","191","405"
"022074","Denno","631","624","1255"
"022078","Drena","298","300","598"
"022079","Dro","2502","2559","5061"
"022081","Fai della Paganella","465","468","933"
"022083","Fiavè","518","534","1052"
"022085","Fierozzo","249","215","464"
"022087","Folgaria","1551","1624","3175"
"022089","Fornace","684","652","1336"
"022090","Frassilongo","182","170","352"
"022091","Garniga Terme","219","189","408"
"022092","Giovo","1284","1225","2509"
"022093","Giustino","360","380","740"
"022095","Grigno","1002","1020","2022"
"022097","Imer","609","568","1177"
"022098","Isera","1388","1415","2803"
"022102","Lavarone","611","592","1203"
"022103","Lavis","4571","4600","9171"
"022104","Levico Terme","4028","4236","8264"
"022106","Livo","393","373","766"
"022108","Lona-Lases","428","435","863"
"022109","Luserna","130","137","267"
"022110","Malé","1097","1169","2266"
"022112","Massimeno","74","64","138"
"022113","Mazzin","293","311","604"
"022114","Mezzana","431","446","877"
"022115","Mezzano","799","786","1585"
"022116","Mezzocorona","2701","2810","5511"
"022117","Mezzolombardo","3782","3885","7667"
"022118","Moena","1241","1296","2537"
"022120","Molveno","537","582","1119"
"022123","Mori","5086","5122","10208"
"022124","Nago-Torbole","1368","1390","2758"
"022127","Nogaredo","1058","1013","2071"
"022128","Nomi","662","690","1352"
"022129","Novaledo","560","602","1162"
"022130","Ospedaletto","419","389","808"
"022131","Ossana","405","428","833"
"022133","Palù del Fersina","81","78","159"
"022134","Panchià","394","420","814"
"022135","Ronzo-Chienis","527","475","1002"
"022136","Peio","935","859","1794"
"022137","Pellizzano","385","415","800"
"022138","Pelugo","190","207","397"
"022139","Pergine Valsugana","10579","11105","21684"
"022142","Pieve Tesino","330","324","654"
"022143","Pinzolo","1481","1558","3039"
"022144","Pomarolo","1250","1199","2449"
"022147","Predazzo","2228","2308","4536"
"022150","Rabbi","703","669","1372"
"022153","Riva del Garda","8549","9309","17858"
"022155","Romeno","761","736","1497"
"022156","Roncegno Terme","1462","1478","2940"
"022157","Ronchi Valsugana","240","211","451"
"022159","Ronzone","246","236","482"
"022160","Roverè della Luna","836","801","1637"
"022161","Rovereto","19225","20822","40047"
"022162","Ruffrè-Mendola","224","196","420"
"022163","Rumo","405","383","788"
"022164","Sagron Mis","89","88","177"
"022165","Samone","278","268","546"
"022167","San Michele all'Adige","2062","2039","4101"
"022168","Sant'Orsola Terme","562","542","1104"
"022169","Sanzeno","470","457","927"
"022170","Sarnonico","398","391","789"
"022171","Scurelle","681","677","1358"
"022172","Segonzano","678","679","1357"
"022173","Sfruz","181","182","363"
"022176","Soraga di Fassa","374","344","718"
"022177","Sover","405","381","786"
"022179","Spiazzo","627","639","1266"
"022180","Spormaggiore","669","579","1248"
"022181","Sporminore","356","362","718"
"022182","Stenico","619","556","1175"
"022183","Storo","2184","2293","4477"
"022184","Strembo","296","286","582"
"022188","Telve","942","963","1905"
"022189","Telve di Sopra","322","298","620"
"022190","Tenna","528","537","1065"
"022191","Tenno","992","1047","2039"
"022193","Terragnolo","371","334","705"
"022195","Terzolas","310","333","643"
"022196","Tesero","1505","1489","2994"
"022199","Tione di Trento","1821","1843","3664"
"022200","Ton","677","605","1282"
"022202","Torcegno","341","353","694"
"022203","Trambileno","723","750","1473"
"022205","Trento","57897","60989","118886"
"022209","Valfloriana","242","231","473"
"022210","Vallarsa","710","682","1392"
"022213","Vermiglio","880","903","1783"
"022216","Vignola-Falesina","112","87","199"
"022222","Villa Lagarina","1948","1945","3893"
"022224","Volano","1555","1566","3121"
"022226","Ziano di Fiemme","866","914","1780"
"022228","Comano Terme","1463","1485","2948"
"022229","Ledro","2651","2744","5395"
"022230","Predaia","3465","3438","6903"
"022231","San Lorenzo Dorsino","784","791","1575"
"022232","Valdaone","593","554","1147"
"022233","Dimaro Folgarida","1011","1081","2092"
"022234","Pieve di Bono-Prezzo","728","728","1456"
"022235","Altavalle","812","820","1632"
"022236","Altopiano della Vigolana","2558","2558","5116"
"022237","Amblar-Don","279","273","552"
"022238","Borgo Chiese","984","950","1934"
"022239","Borgo Lares","378","350","728"
"022240","Castel Ivano","1631","1637","3268"
"022241","Cembra Lisignago","1202","1144","2346"
"022242","Contà","692","717","1409"
"022243","Madruzzo","1532","1459","2991"
"022244","Porte di Rendena","917","902","1819"
"022245","Primiero San Martino di Castrozza","2457","2526","4983"
"022246","Sella Giudicarie","1490","1458","2948"
"022247","Tre Ville","681","701","1382"
"022248","Vallelaghi","2660","2596","5256"
"022249","Ville d'Anaunia","2349","2323","4672"
"022250","San Giovanni di Fassa-Sèn Jan","1767","1814","3581"
"022251","Terre d'Adige","1579","1516","3095"
"022252","Borgo d'Anaunia","1292","1261","2553"
"022253","Novella","1837","1769","3606"
"022254","Ville di Fiemme","1324","1326","2650"