Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2019 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;162,000;57,330;76,670;8,670;41,700;19,000;53,920;9,432;8,727;5,676;83,800;24,840;9,300;;
Andriano;04021002;Comune;67,610;94,390;68,780;;117,590;24,880;40,950;3,548;5,146;0,174;46,240;15,570;9,980;;
Anterivo;04021003;Comune;25,560;11,790;18,210;0,480;;8,140;10,100;0,891;1,275;1,511;19,610;5,925;;;
Appiano sulla strada del vino;04021004;Comune;2.463,050;78,640;1.009,641;34,387;362,980;239,772;273,103;114,694;59,478;85,267;609,287;199,340;179,680;;
Avelengo;04021005;Comune;254,720;;93,340;;27,660;19,620;6,040;14,083;10,787;2,584;123,700;11,700;;;
Badia;04021006;Comune;1.083,960;21,390;439,273;20,311;65,488;98,975;43,554;29,505;28,924;19,966;528,027;52,065;;;
Barbiano;04021007;Comune;146,440;14,213;80,980;0,430;12,740;13,765;5,360;3,662;6,003;0,876;75,950;;;;
Bolzano;04021008;Comune;14.359,010;35,790;9.461,823;92,820;3.006,590;896,270;2.261,300;569,643;253,873;440,860;4.202,800;992,160;706,340;;
Braies;04021009;Comune;134,996;0,660;61,589;2,623;;15,590;20,923;3,374;6,059;2,144;48,902;9,810;;;
Brennero;04021010;Comune;239,310;23,090;194,230;;36,920;20,720;60,230;6,950;11,853;22,798;175,970;22,590;335,360;;
Bressanone;04021011;Comune;2.873,124;;2.443,055;28,211;813,228;289,806;242,741;196,680;95,038;251,923;1.048,604;290,723;636,850;;
Bronzolo;04021012;Comune;284,140;14,930;84,438;5,264;96,810;21,824;93,822;19,379;6,672;40,618;83,332;41,745;42,450;;
Brunico;04021013;Comune;2.929,940;181,060;1.602,509;16,708;449,745;197,732;229,622;105,395;77,870;169,428;755,556;251,610;326,420;;
Caines;04021014;Comune;31,812;7,186;18,230;0,269;9,413;7,853;1,829;1,531;2,028;0,119;13,502;5,790;5,860;;
Caldaro sulla strada del vino;04021015;Comune;746,130;33,870;565,290;21,770;228,150;129,290;189,340;61,326;56,817;42,850;496,850;121,275;;;
Campo di Trens;04021016;Comune;276,110;17,516;145,150;0,720;22,260;37,450;36,660;16,923;15,337;21,546;83,060;39,260;;;
Campo Tures;04021017;Comune;436,320;59,860;487,951;21,871;82,820;88,537;135,552;75,013;31,869;56,423;244,644;40,880;17,680;;
Castelbello-Ciardes;04021018;Comune;376,260;21,340;267,360;4,170;40,160;43,520;10,550;12,812;4,873;13,800;155,880;34,290;;;
Castelrotto;04021019;Comune;1.447,349;60,217;575,577;22,150;101,365;145,045;160,814;48,800;14,666;10,066;475,005;61,450;;;
Cermes;04021020;Comune;182,381;;83,952;;31,111;16,481;5,544;7,447;5,709;6,490;76,190;13,813;;;
Chienes;04021021;Comune;374,350;127,780;224,894;2,303;;33,829;21,319;8,402;11,263;13,901;117,957;12,280;;;
Chiusa;04021022;Comune;459,870;220,350;345,920;0,110;116,980;120,650;110,771;20,832;11,852;20,853;219,060;78,285;;;
Cornedo all\'Isarco;04021023;Comune;266,710;35,590;113,570;;82,920;32,048;45,330;11,410;5,617;2,778;41,650;16,880;;;
Cortaccia sulla strada del vino;04021024;Comune;1.076,950;108,425;98,828;2,576;21,640;23,446;49,322;12,670;9,493;4,550;63,927;;28,070;;
Cortina sulla strada del vino;04021025;Comune;49,830;;34,660;0,900;;8,080;12,640;1,367;3,339;4,404;27,670;7,380;;;
Corvara in Badia;04021026;Comune;850,420;14,600;377,457;13,982;53,482;94,300;34,214;27,237;23,218;13,203;377,794;20,640;;;
Curon Venosta;04021027;Comune;66,098;119,541;169,900;8,680;90,650;54,840;17,682;12,324;8,960;15,180;160,200;35,790;275,630;;
Dobbiaco;04021028;Comune;389,100;54,490;248,786;17,921;47,609;48,202;97,671;12,654;12,413;17,989;180,490;16,455;94,920;;
Egna;04021029;Comune;136,910;88,960;220,850;150,280;124,070;46,900;95,530;31,190;16,470;8,260;;66,690;;;
Falzes;04021030;Comune;372,860;87,480;154,978;8,891;;33,393;51,271;8,943;9,040;10,680;90,688;42,900;93,980;;
Fie allo Sciliar;04021031;Comune;231,670;50,172;242,790;7,060;60,663;66,420;101,980;23,942;5,413;14,605;209,800;54,240;107,850;;
Fortezza;04021032;Comune;68,640;15,502;65,470;0,040;5,602;6,735;24,160;2,474;2,748;7,750;38,270;;;;
Funes;04021033;Comune;211,280;0,470;110,640;0,280;2,310;39,319;27,940;10,547;5,331;7,274;83,000;;;;
Gais;04021034;Comune;341,720;42,860;202,504;2,640;97,570;58,302;48,060;14,640;13,873;14,369;120,845;48,600;53,880;;
Gargazzone;04021035;Comune;254,425;3,189;95,602;0,301;6,775;14,804;15,636;9,164;4,552;5,534;75,025;3,349;;;
Glorenza;04021036;Comune;24,581;14,488;56,043;2,234;21,026;41,944;0,544;6,120;7,134;4,037;110,753;13,575;;;
La Valle;04021117;Comune;57,120;2,760;125,350;1,312;4,900;6,604;1,893;;2,894;5,625;52,219;6,940;;;
Laces;04021037;Comune;794,510;53,420;387,270;9,868;71,460;77,060;26,272;34,536;15,661;22,460;198,780;75,340;;;
Lagundo;04021038;Comune;709,450;48,280;269,600;;98,960;59,360;20,880;34,985;39,558;13,858;249,560;61,400;48,730;;
Laion;04021039;Comune;158,440;40,830;102,585;;47,180;28,825;24,360;8,744;8,332;17,000;60,700;41,190;;;
Laives;04021040;Comune;1.154,290;;1.081,670;45,270;362,760;233,764;281,091;121,608;49,389;91,840;1.137,090;182,240;249,920;;
Lana;04021041;Comune;1.080,615;27,990;794,782;2,639;59,471;106,284;109,605;80,435;39,070;161,891;447,975;54,670;124,390;;
Lasa;04021042;Comune;164,937;2,656;342,941;6,661;64,297;54,852;14,190;42,227;8,871;16,052;149,849;34,645;;;
Lauregno;04021043;Comune;;6,730;10,220;0,160;;1,740;1,220;0,003;0,218;0,103;7,620;;;;
Luson;04021044;Comune;118,200;11,630;66,800;0,020;27,950;21,390;4,130;6,620;3,502;2,913;49,230;23,325;55,880;;
Magre sulla strada del vino;04021045;Comune;139,025;;56,132;1,474;;13,424;28,232;7,250;2,397;1,636;34,183;;;;
Malles Venosta;04021046;Comune;63,034;57,899;399,683;11,503;66,281;32,162;19,147;31,206;15,353;31,829;191,618;79,305;130,690;;
Marebbe;04021047;Comune;511,155;49,160;222,200;7,686;20,320;56,234;23,457;15,667;21,171;12,600;244,307;46,770;52,840;;
Marlengo;04021048;Comune;331,469;19,309;149,248;;55,309;29,299;9,856;13,239;13,086;28,811;135,450;24,557;54,740;;
Martello;04021049;Comune;5,760;10,150;46,860;2,700;14,000;18,600;8,700;6,288;5,148;4,570;44,200;12,435;;;
Meltina;04021050;Comune;20,960;;60,300;;;11,140;13,690;10,924;4,719;3,910;32,700;25,410;8,760;;
Merano;04021051;Comune;3.205,870;240,280;3.431,050;12,580;728,540;357,630;112,870;225,743;131,013;233,117;2.230,430;53,990;703,100;;
Monguelfo-Tesido;04021052;Comune;521,304;1,500;208,266;8,494;2,640;48,319;80,257;14,156;11,207;12,494;122,504;43,785;37,460;;
Montagna;04021053;Comune;195,040;90,750;86,100;3,600;;29,570;34,750;10,218;5,747;9,184;84,640;25,710;;;
Moso in Passiria;04021054;Comune;76,523;;109,423;1,089;16,184;17,288;8,266;10,270;8,819;6,289;78,802;12,008;48,520;;
Nalles;04021055;Comune;241,906;25,370;83,270;;61,830;28,470;6,605;10,145;8,979;0,608;69,430;3,560;23,320;;
Naturno;04021056;Comune;1.280,225;;455,940;;;54,960;27,080;26,335;25,330;34,870;277,820;;30,060;;
Naz-Sciaves;04021057;Comune;441,312;29,545;174,108;6,049;35,815;33,321;29,886;10,197;16,800;11,811;136,887;2,771;;;
Nova Levante;04021058;Comune;312,240;73,250;138,940;8,530;;29,240;103,318;13,064;8,225;0,333;112,180;29,985;;;
Nova Ponente;04021059;Comune;589,450;109,950;332,170;19,450;125,210;84,470;98,080;34,408;8,393;22,160;226,990;;;;
Ora;04021060;Comune;592,380;15,010;154,430;0,024;76,430;33,140;126,865;32,981;22,785;16,410;115,980;46,480;29,170;;
Ortisei;04021061;Comune;610,708;;552,301;0,362;156,383;92,596;96,786;33,523;4,397;32,210;297,643;2,925;;;
Parcines;04021062;Comune;568,830;50,080;227,010;3,540;69,860;57,620;15,940;32,342;20,948;24,440;154,120;57,225;;;
Perca;04021063;Comune;165,727;17,201;156,260;1,387;41,738;20,936;21,094;8,258;6,561;2,112;91,649;19,989;;;
Plaus;04021064;Comune;132,880;;24,400;;5,500;6,820;2,160;0,003;1,471;1,220;23,760;8,340;;;
Ponte Gardena;04021065;Comune;15,000;3,240;21,030;0,030;4,440;4,340;9,270;1,371;1,734;8,447;8,910;;;;
Postal;04021066;Comune;156,131;18,011;72,696;0,401;9,034;15,552;16,208;12,220;5,126;7,249;58,140;4,465;12,240;;
Prato allo Stelvio;04021067;Comune;231,478;10,927;261,196;6,304;27,215;46,169;15,319;21,560;11,867;27,073;129,017;37,176;;;
Predoi;04021068;Comune;37,330;;24,050;;;3,197;2,480;0,002;1,633;3,397;18,399;;;;
Proves;04021069;Comune;;3,460;10,160;0,140;;11,540;;3,468;0,258;0,080;4,780;;;;
Racines;04021070;Comune;488,880;45,210;374,080;1,800;59,850;58,500;141,720;0,020;1,502;30,512;342,140;50,240;;;
Rasun-Anterselva;04021071;Comune;493,700;8,390;239,726;11,299;2,950;40,508;89,247;18,437;13,799;31,834;200,419;43,665;137,240;;
Renon;04021072;Comune;523,180;39,140;372,300;4,500;225,620;72,870;102,330;43,235;10,071;30,041;321,490;71,540;59,400;;
Rifiano;04021073;Comune;99,478;22,754;57,730;0,851;29,807;24,867;5,791;4,848;3,413;20,760;42,758;20,910;;;
Rio di Pusteria;04021074;Comune;453,370;7,435;275,823;3,786;32,025;73,373;81,911;16,717;18,461;6,166;207,017;47,415;;;
Rodengo;04021075;Comune;97,500;19,943;67,714;1,077;19,935;23,995;16,726;4,631;4,111;0,619;47,456;0,340;16,540;;
Salorno;04021076;Comune;203,370;74,990;201,590;4,990;128,510;61,680;96,250;22,646;13,779;28,913;125,490;57,105;;;
San Candido;04021077;Comune;663,490;41,730;461,520;9,489;47,949;72,542;148,160;27,638;17,156;20,127;259,964;42,255;109,420;;
San Genesio Atesino;04021079;Comune;173,480;86,790;117,540;12,700;;41,480;43,030;16,436;11,887;7,517;82,930;42,700;;;
San Leonardo in Passiria;04021080;Comune;395,943;43,404;164,419;3,345;49,708;38,746;11,547;22,937;25,341;24,070;117,869;24,556;59,200;;
San Lorenzo di Sebato;04021081;Comune;476,103;37,729;300,871;6,768;109,907;53,260;56,943;21,232;21,996;4,871;232,221;48,426;;;
San Martino in Badia;04021082;Comune;180,250;;326,140;8,110;0,300;39,320;99,120;14,908;8,151;25,037;252,160;1,060;;;
San Martino in Passiria;04021083;Comune;345,803;43,404;152,219;3,345;49,708;37,066;11,327;25,416;14,153;18,070;124,469;19,756;;;
San Pancrazio;04021084;Comune;27,830;28,535;39,145;0,080;6,560;8,000;2,440;6,181;2,406;0,465;26,200;3,900;6,030;;
Santa Cristina Valgardena;04021085;Comune;360,675;;192,466;0,239;76,082;43,126;48,904;13,667;1,623;2,020;189,001;;;;
Sarentino;04021086;Comune;367,940;;216,720;25,440;109,510;72,380;153,050;44,430;10,145;38,510;110,080;58,270;;;
Scena;04021087;Comune;961,170;;248,680;;23,320;44,720;19,360;15,333;19,880;5,328;289,560;;6,210;;
Selva dei Molini;04021088;Comune;121,370;37,420;54,587;5,840;;25,758;22,919;6,816;4,228;10,585;38,356;21,315;;;
Selva di Val Gardena;04021089;Comune;683,938;64,317;519,346;0,202;99,438;101,938;110,725;19,046;3,950;12,440;533,631;1,615;57,240;;
Senales;04021091;Comune;190,210;;75,630;2,210;35,660;18,320;5,740;5,412;3,107;15,850;112,030;18,675;67,790;;
Senale-San Felice;04021118;Comune;;11,740;29,520;;;11,560;2,480;4,183;1,043;1,230;18,460;;10,800;;
Sesto;04021092;Comune;518,111;27,230;232,886;13,290;20,722;55,932;100,337;15,638;9,868;11,073;227,998;7,184;42,120;;
Silandro;04021093;Comune;847,457;5,127;336,970;1,942;43,943;63,194;355,331;28,811;13,248;30,600;224,770;93,630;100,420;;
Sluderno;04021094;Comune;88,532;2,387;145,106;4,844;32,931;27,829;6,444;11,897;5,579;9,942;71,117;27,585;;;
Stelvio;04021095;Comune;;;116,251;4,997;8,297;13,597;6,619;5,070;9,438;2,119;132,892;0,790;;;
Terento;04021096;Comune;274,840;24,380;83,100;3,540;44,410;31,590;25,790;9,601;5,768;9,608;68,120;26,385;;;
Terlano;04021097;Comune;578,730;103,880;262,500;24,850;;64,700;108,840;27,794;7,921;14,504;197,370;68,070;89,290;;
Termeno sulla strada del vino;04021098;Comune;578,087;9,220;183,100;8,820;84,940;49,910;63,640;20,176;10,821;25,480;155,780;18,260;;;
Tesimo;04021099;Comune;150,304;25,370;83,270;;61,830;28,470;6,605;10,147;8,941;4,642;69,430;1,350;23,320;;
Tires;04021100;Comune;70,430;48,140;62,220;1,520;;14,100;18,980;5,995;1,852;1,479;42,980;15,150;16,600;;
Tirolo;04021101;Comune;603,450;;217,500;0,380;20,880;44,660;15,060;15,378;19,430;8,888;238,260;29,980;;;
Trodena nel parco naturale;04021102;Comune;287,240;50,660;48,560;1,800;;29,700;23,110;3,761;5,018;2,735;34,800;15,840;;;
Tubre;04021103;Comune;0,014;0,269;46,200;2,953;46,247;19,680;4,922;7,021;3,617;8,407;55,410;14,370;;;
Ultimo;04021104;Comune;100,050;45,465;172,880;;56,540;54,080;11,000;18,527;10,615;25,640;125,760;39,000;35,440;;
Vadena;04021105;Comune;159,830;;85,600;;28,570;17,110;34,030;4,732;16,591;1,497;44,300;3,140;;;
Val di Vizze;04021107;Comune;328,340;26,070;183,930;0,053;23,430;13,061;61,386;0,064;5,723;9,409;100,119;4,700;;;
Valdaora;04021106;Comune;705,565;7,050;237,883;10,554;5,690;37,792;89,086;18,437;24,998;7,099;180,253;47,550;;;
Valle Aurina;04021108;Comune;847,840;88,330;465,787;18,513;81,170;121,143;153,199;5,887;25,093;32,078;315,866;90,225;33,640;;
Valle di Casies;04021109;Comune;315,340;11,280;160,780;6,880;44,530;42,330;71,670;12,309;10,472;9,689;115,680;34,875;;;
Vandoies;04021110;Comune;417,290;125,420;199,904;4,917;;45,087;35,932;20,563;15,600;30,905;108,935;49,860;222,080;;
Varna;04021111;Comune;705,954;58,025;522,048;8,603;128,051;42,575;48,241;29,112;6,951;23,154;236,946;44,036;44,210;;
Velturno;04021116;Comune;218,830;18,433;112,645;1,086;21,850;15,395;39,670;4,124;4,078;11,440;105,910;2,320;24,180;;
Verano;04021112;Comune;18,650;6,570;37,340;0,400;2,900;5,600;2,960;2,499;1,390;4,539;31,000;;;;
Villabassa;04021113;Comune;178,669;14,910;85,609;6,756;11,550;33,327;15,595;6,913;3,370;11,498;45,644;10,726;;;
Villandro;04021114;Comune;77,430;16,810;74,870;0,640;16,280;11,560;27,410;6,020;5,175;5,586;64,880;13,640;46,240;;
Vipiteno;04021115;Comune;806,710;9,700;775,119;1,295;62,210;102,703;206,024;92,658;34,268;54,884;373,225;53,380;205,760;;


			



